teamA_win,teamA_top_winrate_past_50_games,teamA_top_winrate_past_10_games,teamA_top_winrate_on_champ_past_50_games,teamA_top_winrate_on_champ_past_10_games,teamA_top_gold_per_min_on_champ_past_10_games,teamA_top_kill_participation_on_champ_past_10_games,teamA_top_kda_on_champ_past_10_games,teamA_top_num_games_played_on_champ_past_50_games,teamA_jg_winrate_past_50_games,teamA_jg_winrate_past_10_games,teamA_jg_winrate_on_champ_past_50_games,teamA_jg_winrate_on_champ_past_10_games,teamA_jg_gold_per_min_on_champ_past_10_games,teamA_jg_kill_participation_on_champ_past_10_games,teamA_jg_kda_on_champ_past_10_games,teamA_jg_num_games_played_on_champ_past_50_games,teamA_mid_winrate_past_50_games,teamA_mid_winrate_past_10_games,teamA_mid_winrate_on_champ_past_50_games,teamA_mid_winrate_on_champ_past_10_games,teamA_mid_gold_per_min_on_champ_past_10_games,teamA_mid_kill_participation_on_champ_past_10_games,teamA_mid_kda_on_champ_past_10_games,teamA_mid_num_games_played_on_champ_past_50_games,teamA_adc_winrate_past_50_games,teamA_adc_winrate_past_10_games,teamA_adc_winrate_on_champ_past_50_games,teamA_adc_winrate_on_champ_past_10_games,teamA_adc_gold_per_min_on_champ_past_10_games,teamA_adc_kill_participation_on_champ_past_10_games,teamA_adc_kda_on_champ_past_10_games,teamA_adc_num_games_played_on_champ_past_50_games,teamA_supp_winrate_past_50_games,teamA_supp_winrate_past_10_games,teamA_supp_winrate_on_champ_past_50_games,teamA_supp_winrate_on_champ_past_10_games,teamA_supp_gold_per_min_on_champ_past_10_games,teamA_supp_kill_participation_on_champ_past_10_games,teamA_supp_kda_on_champ_past_10_games,teamA_supp_num_games_played_on_champ_past_50_games,teamA_winrate_past_50_games,teamA_winrate_past_10_games,teamA_average_kill_participation_past_10_games,teamA_average_gold_per_min_past_10_games,teamB_top_winrate_past_50_games,teamB_top_winrate_past_10_games,teamB_top_winrate_on_champ_past_50_games,teamB_top_winrate_on_champ_past_10_games,teamB_top_gold_per_min_on_champ_past_10_games,teamB_top_kill_participation_on_champ_past_10_games,teamB_top_kda_on_champ_past_10_games,teamB_top_num_games_played_on_champ_past_50_games,teamB_jg_winrate_past_50_games,teamB_jg_winrate_past_10_games,teamB_jg_winrate_on_champ_past_50_games,teamB_jg_winrate_on_champ_past_10_games,teamB_jg_gold_per_min_on_champ_past_10_games,teamB_jg_kill_participation_on_champ_past_10_games,teamB_jg_kda_on_champ_past_10_games,teamB_jg_num_games_played_on_champ_past_50_games,teamB_mid_winrate_past_50_games,teamB_mid_winrate_past_10_games,teamB_mid_winrate_on_champ_past_50_games,teamB_mid_winrate_on_champ_past_10_games,teamB_mid_gold_per_min_on_champ_past_10_games,teamB_mid_kill_participation_on_champ_past_10_games,teamB_mid_kda_on_champ_past_10_games,teamB_mid_num_games_played_on_champ_past_50_games,teamB_adc_winrate_past_50_games,teamB_adc_winrate_past_10_games,teamB_adc_winrate_on_champ_past_50_games,teamB_adc_winrate_on_champ_past_10_games,teamB_adc_gold_per_min_on_champ_past_10_games,teamB_adc_kill_participation_on_champ_past_10_games,teamB_adc_kda_on_champ_past_10_games,teamB_adc_num_games_played_on_champ_past_50_games,teamB_supp_winrate_past_50_games,teamB_supp_winrate_past_10_games,teamB_supp_winrate_on_champ_past_50_games,teamB_supp_winrate_on_champ_past_10_games,teamB_supp_gold_per_min_on_champ_past_10_games,teamB_supp_kill_participation_on_champ_past_10_games,teamB_supp_kda_on_champ_past_10_games,teamB_supp_num_games_played_on_champ_past_50_games,teamB_winrate_past_50_games,teamB_winrate_past_10_games,teamB_average_kill_participation_past_10_games,teamB_average_gold_per_min_past_10_games,teamA_top_winrate_pro_past_10_games,teamA_jg_winrate_pro_past_10_games,teamA_mid_winrate_pro_past_10_games,teamA_adc_winrate_pro_past_10_games,teamA_supp_winrate_pro_past_10_games,teamB_top_winrate_pro_past_10_games,teamB_jg_winrate_pro_past_10_games,teamB_mid_winrate_pro_past_10_games,teamB_adc_winrate_pro_past_10_games,teamB_supp_winrate_pro_past_10_games,teamA_top_winrate_pro_past_50_games,teamA_jg_winrate_pro_past_50_games,teamA_mid_winrate_pro_past_50_games,teamA_adc_winrate_pro_past_50_games,teamA_supp_winrate_pro_past_50_games,teamB_top_winrate_pro_past_50_games,teamB_jg_winrate_pro_past_50_games,teamB_mid_winrate_pro_past_50_games,teamB_adc_winrate_pro_past_50_games,teamB_supp_winrate_pro_past_50_games,top_matchup_winrate_pro_current_season,jg_matchup_winrate_pro_current_season,mid_matchup_winrate_pro_current_season,adc_matchup_winrate_pro_current_season,supp_matchup_winrate_pro_current_season
0,0.62,0.4,0.5,0.5,358.37,0.68,3.25,2,0.62,0.4,0.73,0.7,367.35,0.63,9.56,8,0.62,0.4,0.55,0.7,426.05,0.65,18.6,13,0.62,0.4,0.62,0.62,542.61,0.67,16.8,8,0.62,0.4,0.12,0.12,216.83,0.17,9.0,7,0.84,1.0,0.33,1999.92,0.42,0.5,1.0,1.0,455.95,0.49,0,1,0.58,0.5,1.0,1.0,290.01,0.38,3.0,1,0.42,0.5,0.67,0.67,486.08,0.67,6.8,6,0.42,0.5,0.5,0.5,471.96,0.46,9.33,11,0.42,0.5,0.0,0.0,0,0.0,0,0,0.98,1.0,0.3,1999.7,0.5,0.5,0.4,0.3,0.5,0.5,0.7,0.4,0.6,0.5,0.64,0.44,0.48,0.4,0.48,0.6,0.42,0.58,0.48,0.53,0.6,0.47,0.44,0.4,0.5
1,0.42,0.5,0.5,0.5,395.86,0.31,9.67,5,0.58,0.4,0.0,0.0,0,0.0,0,0,0.42,0.5,0.42,0.3,474.53,0.36,15.33,10,0.42,0.5,0.45,0.4,473.35,0.41,8.33,10,0.42,0.5,0.5,0.5,257.45,0.58,8.0,8,0.98,1.0,0.32,1999.7,0.64,0.4,0.67,0.67,396.31,0.42,3.0,1,0.64,0.4,0.5,0.5,379.47,0.58,10.29,9,0.64,0.4,0.58,0.6,444.05,0.4,5.8,7,0.64,0.4,0.5,0.5,455.43,0.38,10.0,2,0.64,0.4,0.5,0.5,287.6,0.35,5.0,2,0.84,1.0,0.33,1999.92,0.6,0.6,0.4,0.5,0.4,0.8,0.6,0.5,0.5,0.5,0.64,0.4,0.48,0.48,0.46,0.5,0.58,0.6,0.42,0.42,0.25,0.31,0.46,0.64,0.34
0,0.44,0.5,0.33,0.33,410.14,0.17,2.33,1,0.46,0.3,1.0,1.0,369.83,0.71,0,1,0.44,0.5,0.8,0.8,486.08,0.8,6.8,5,0.44,0.5,0.5,0.5,482.34,0.48,8.0,9,0.44,0.5,0.56,0.56,257.45,0.61,8.0,7,0.98,1.0,0.31,1999.7,0.62,0.3,0.5,0.5,362.46,0.32,2.0,1,0.62,0.3,0.44,0.44,377.36,0.54,8.71,8,0.62,0.3,0.67,0.7,452.25,0.56,6.31,14,0.62,0.3,0.0,0.0,0,0.0,0,1,0.62,0.3,0.0,0.0,0,0.0,0,1,0.84,1.0,0.27,1999.92,0.3,0.6,0.6,0.8,0.5,0.7,0.4,0.3,0.5,0.5,0.42,0.46,0.6,0.5,0.48,0.48,0.56,0.48,0.42,0.42,0.42,0.48,0.56,0.64,0.36
1,0.6,0.3,0.91,0.9,333.41,0.63,6.07,11,0.6,0.3,0.41,0.4,358.26,0.41,9.17,12,0.6,0.3,0.53,0.6,429.73,0.54,19.5,13,0.6,0.3,0.75,0.75,481.87,0.36,0,3,0.6,0.3,0.46,0.5,250.68,0.4,4.67,1,0.84,1.0,0.24,1999.92,0.44,0.5,0.41,0.5,427.01,0.45,7.5,5,0.6,0.5,0.5,0.5,282.96,0.35,2.5,2,0.44,0.5,0.45,0.4,468.87,0.4,8.17,10,0.44,0.5,0.67,0.67,440.16,0.12,1.25,2,0.44,0.5,0.56,0.56,261.56,0.46,7.29,6,1.0,1.0,0.33,1999.7,0.5,0.4,0.5,0.7,0.4,0.6,0.6,0.3,0.3,0.5,0.46,0.44,0.48,0.56,0.48,0.56,0.48,0.48,0.36,0.48,0.59,0.62,0.56,0.53,0.64
0,0.6,0.3,0.56,0.7,373.23,0.46,3.64,9,0.6,0.3,0.5,0.5,361.77,0.73,11.0,2,0.6,0.3,0.2,0.2,510.94,0.22,0,2,0.6,0.3,0.5,0.5,562.29,0.7,21.0,2,0.6,0.3,0.5,0.5,246.07,0.69,17.67,3,0.86,1.0,0.24,1999.92,0.44,0.4,0.4,0.4,417.48,0.23,9.0,4,0.6,0.4,0.0,0.0,0,0.0,0,1,0.44,0.4,0.73,0.7,456.66,0.47,4.69,4,0.44,0.4,0.44,0.44,475.76,0.41,8.33,8,0.44,0.4,0.5,0.5,261.12,0.52,11.0,6,1.0,1.0,0.25,1999.7,0.7,0.5,0.6,0.3,0.5,0.5,0.5,0.4,0.7,0.5,0.54,0.38,0.48,0.43,0.52,0.64,0.5,0.58,0.48,0.46,0.55,0.46,0.47,0.64,0.62
0,0.56,0.4,1.0,1.0,528.08,0.5,11.0,1,0.56,0.4,0.4,0.4,325.41,0.29,0,5,0.58,0.4,0.43,0.43,430.25,0.34,4.5,7,0.56,0.4,0.5,0.5,442.17,0.23,7.0,2,0.56,0.4,0.0,0.0,0,0,0,0,1.0,1.0,0.29,1960.94,0.44,0.3,0.25,0.25,407.35,0.13,8.0,3,0.6,0.4,1.0,1.0,345.93,0.88,12.0,1,0.44,0.3,0.5,0.5,395.61,0.32,0,2,0.44,0.3,0.5,0.5,445.89,0.58,5.1,2,0.44,0.3,0.5,0.5,251.69,0.69,6.0,2,1.0,1.0,0.2,1999.7,0.6,0.3,0.7,0.3,0.4,0.5,0.5,0.4,0.8,0.5,0.58,0.36,0.56,0.45,0.4,0.66,0.6,0.48,0.36,0.52,0.5,0.23,0.43,0,0.5
1,0.44,0.3,0.0,0.0,0,0.0,0,0,0.6,0.3,0.0,0.0,0,0.0,0,1,0.44,0.3,0.4,0.4,465.04,0.44,6.62,9,0.44,0.3,0.38,0.38,485.78,0.35,9.25,7,0.44,0.3,0.43,0.43,259.06,0.45,10.5,5,1.0,1.0,0.19,1999.7,0.56,0.5,0.0,0.0,0,0.0,0,1,0.56,0.5,0.5,0.5,325.41,0.37,0,4,0.58,0.5,1.0,1.0,405.1,0.8,0,1,0.56,0.5,0.71,0.71,461.82,0.49,6.43,6,0.56,0.5,0.62,0.62,263.61,0.57,13.5,7,1.0,1.0,0.41,1960.94,0.3,0.4,0.3,0.3,0.5,0.7,0.2,0.4,0.6,0.6,0.4,0.46,0.5,0.42,0.46,0.7,0.38,0.5,0.46,0.46,0.33,0.47,0.52,0.62,0.36
0,0.46,0.3,0.67,0.67,318.6,0.56,8.12,4,0.48,0.3,0.33,0.33,314.95,0.27,5.0,6,0.46,0.3,0.44,0.44,465.04,0.43,6.63,9,0.46,0.3,0.43,0.43,485.78,0.39,9.25,6,0.46,0.3,0.5,0.5,259.06,0.51,10.5,4,1.0,1.0,0.2,1999.7,0.56,0.4,1.0,1.0,353.97,0.47,8.0,1,0.56,0.4,0.33,0.33,341.14,0.25,0,3,0.58,0.4,0.33,0.33,411.39,0.17,3.0,6,0.56,0.4,0.67,0.67,457.53,0.44,8.75,5,0.56,0.4,0.57,0.57,262.28,0.49,13.33,6,1.0,1.0,0.33,1960.94,0.5,0.8,0.6,0.3,0.5,0.3,0.1,0.6,0.6,0.6,0.54,0.62,0.52,0.44,0.46,0.44,0.42,0.52,0.46,0.46,0.5,0.79,0.42,0.64,0.36
0,0.48,0.3,0.75,0.75,377.08,0.7,8.67,4,0.48,0.3,0.57,0.57,335.81,0.49,15.0,7,0.48,0.3,0.5,0.5,465.04,0.51,6.62,8,0.48,0.3,0.5,0.5,485.78,0.43,9.25,5,0.48,0.3,0.62,0.62,261.56,0.54,7.29,5,1.0,1.0,0.2,1999.7,0.54,0.4,0.0,0.0,0,0.0,0,0,0.54,0.4,0.5,0.5,320.79,0.21,6.0,1,0.58,0.4,0.73,0.8,401.53,0.58,7.33,10,0.54,0.4,0.0,0.0,0,0.0,0,1,0.54,0.4,0.0,0.0,0,0.0,0,0,1.0,1.0,0.33,1960.94,0.4,0.4,0.7,0.3,0.7,0.5,0.6,0.5,0.3,0.0,0.46,0.48,0.54,0.46,0.54,0.58,0.52,0.6,0.44,0.0,0.38,0.46,0.44,0.4,0
0,0.54,0.5,0.0,0.0,0,0,0,0,0.54,0.5,0.5,0.5,341.14,0.38,0,2,0.6,0.5,0.4,0.4,411.39,0.21,3.0,5,0.54,0.5,0.5,0.5,571.07,0.51,0,2,0.54,0.5,0.33,0.33,243.56,0.3,6.67,3,1.0,1.0,0.39,1960.94,0.46,0.3,0.0,0.0,0,0.0,0,0,0.48,0.3,0.2,0.2,327.72,0.1,6.0,5,0.46,0.3,0.75,0.75,488.58,0.78,5.89,4,0.46,0.3,0.4,0.4,494.5,0.36,13.0,4,0.46,0.3,0.0,0.0,0,0.0,0,1,1.0,1.0,0.18,1999.7,0.9,0.4,0.5,0.6,0.5,0.6,0.6,0.6,0.2,0.2,0.68,0.46,0.52,0.4,0.62,0.44,0.6,0.6,0.48,0.54,0.33,0.24,0.48,0.48,0.52
