teamA_win,teamA_top_winrate_past_50_games,teamA_top_winrate_past_10_games,teamA_top_winrate_on_champ_past_50_games,teamA_top_winrate_on_champ_past_10_games,teamA_top_gold_per_min_on_champ_past_10_games,teamA_top_kill_participation_on_champ_past_10_games,teamA_top_kda_on_champ_past_10_games,teamA_top_num_games_played_on_champ_past_50_games,teamA_jg_winrate_past_50_games,teamA_jg_winrate_past_10_games,teamA_jg_winrate_on_champ_past_50_games,teamA_jg_winrate_on_champ_past_10_games,teamA_jg_gold_per_min_on_champ_past_10_games,teamA_jg_kill_participation_on_champ_past_10_games,teamA_jg_kda_on_champ_past_10_games,teamA_jg_num_games_played_on_champ_past_50_games,teamA_mid_winrate_past_50_games,teamA_mid_winrate_past_10_games,teamA_mid_winrate_on_champ_past_50_games,teamA_mid_winrate_on_champ_past_10_games,teamA_mid_gold_per_min_on_champ_past_10_games,teamA_mid_kill_participation_on_champ_past_10_games,teamA_mid_kda_on_champ_past_10_games,teamA_mid_num_games_played_on_champ_past_50_games,teamA_adc_winrate_past_50_games,teamA_adc_winrate_past_10_games,teamA_adc_winrate_on_champ_past_50_games,teamA_adc_winrate_on_champ_past_10_games,teamA_adc_gold_per_min_on_champ_past_10_games,teamA_adc_kill_participation_on_champ_past_10_games,teamA_adc_kda_on_champ_past_10_games,teamA_adc_num_games_played_on_champ_past_50_games,teamA_supp_winrate_past_50_games,teamA_supp_winrate_past_10_games,teamA_supp_winrate_on_champ_past_50_games,teamA_supp_winrate_on_champ_past_10_games,teamA_supp_gold_per_min_on_champ_past_10_games,teamA_supp_kill_participation_on_champ_past_10_games,teamA_supp_kda_on_champ_past_10_games,teamA_supp_num_games_played_on_champ_past_50_games,teamA_winrate_past_50_games,teamA_winrate_past_10_games,teamA_average_kill_participation_past_10_games,teamA_average_gold_per_min_past_10_games,teamB_top_winrate_past_50_games,teamB_top_winrate_past_10_games,teamB_top_winrate_on_champ_past_50_games,teamB_top_winrate_on_champ_past_10_games,teamB_top_gold_per_min_on_champ_past_10_games,teamB_top_kill_participation_on_champ_past_10_games,teamB_top_kda_on_champ_past_10_games,teamB_top_num_games_played_on_champ_past_50_games,teamB_jg_winrate_past_50_games,teamB_jg_winrate_past_10_games,teamB_jg_winrate_on_champ_past_50_games,teamB_jg_winrate_on_champ_past_10_games,teamB_jg_gold_per_min_on_champ_past_10_games,teamB_jg_kill_participation_on_champ_past_10_games,teamB_jg_kda_on_champ_past_10_games,teamB_jg_num_games_played_on_champ_past_50_games,teamB_mid_winrate_past_50_games,teamB_mid_winrate_past_10_games,teamB_mid_winrate_on_champ_past_50_games,teamB_mid_winrate_on_champ_past_10_games,teamB_mid_gold_per_min_on_champ_past_10_games,teamB_mid_kill_participation_on_champ_past_10_games,teamB_mid_kda_on_champ_past_10_games,teamB_mid_num_games_played_on_champ_past_50_games,teamB_adc_winrate_past_50_games,teamB_adc_winrate_past_10_games,teamB_adc_winrate_on_champ_past_50_games,teamB_adc_winrate_on_champ_past_10_games,teamB_adc_gold_per_min_on_champ_past_10_games,teamB_adc_kill_participation_on_champ_past_10_games,teamB_adc_kda_on_champ_past_10_games,teamB_adc_num_games_played_on_champ_past_50_games,teamB_supp_winrate_past_50_games,teamB_supp_winrate_past_10_games,teamB_supp_winrate_on_champ_past_50_games,teamB_supp_winrate_on_champ_past_10_games,teamB_supp_gold_per_min_on_champ_past_10_games,teamB_supp_kill_participation_on_champ_past_10_games,teamB_supp_kda_on_champ_past_10_games,teamB_supp_num_games_played_on_champ_past_50_games,teamB_winrate_past_50_games,teamB_winrate_past_10_games,teamB_average_kill_participation_past_10_games,teamB_average_gold_per_min_past_10_games,teamA_top_winrate_pro_past_10_games,teamA_jg_winrate_pro_past_10_games,teamA_mid_winrate_pro_past_10_games,teamA_adc_winrate_pro_past_10_games,teamA_supp_winrate_pro_past_10_games,teamB_top_winrate_pro_past_10_games,teamB_jg_winrate_pro_past_10_games,teamB_mid_winrate_pro_past_10_games,teamB_adc_winrate_pro_past_10_games,teamB_supp_winrate_pro_past_10_games,teamA_top_winrate_pro_past_50_games,teamA_jg_winrate_pro_past_50_games,teamA_mid_winrate_pro_past_50_games,teamA_adc_winrate_pro_past_50_games,teamA_supp_winrate_pro_past_50_games,teamB_top_winrate_pro_past_50_games,teamB_jg_winrate_pro_past_50_games,teamB_mid_winrate_pro_past_50_games,teamB_adc_winrate_pro_past_50_games,teamB_supp_winrate_pro_past_50_games,top_matchup_winrate_pro_current_season,jg_matchup_winrate_pro_current_season,mid_matchup_winrate_pro_current_season,adc_matchup_winrate_pro_current_season,supp_matchup_winrate_pro_current_season
0,0.58,0.2,0.81,0.8,423.85,0.55,5.85,15,0.52,0.2,0.43,0.43,415.15,0.41,9.0,7,0.58,0.2,0.56,0.6,450.51,0.54,8.11,15,0.58,0.2,0.5,0.3,498.75,0.43,9.0,18,0.58,0.2,0.29,0.3,257.79,0.47,8.8,7,0.58,0.2,0.26,1729.71,0.6,0.6,0.38,0.5,392.17,0.33,10.0,8,0.6,0.6,0.6,0.6,348.2,0.62,38.0,5,0.6,0.6,0.0,0.0,0,0.0,0,1,0.6,0.6,0.62,0.6,456.24,0.66,6.3,12,0.54,0.6,1.0,1.0,238.01,0.88,8.33,2,0.62,0.9,0.48,1938.64,0.6,0.2,0.8,0.8,0.6,0.5,0.6,0.5,0.7,0.4,0.44,0.44,0.5,0.52,0.54,0.48,0.62,0.5,0.48,0.44,0.52,0.5,0.45,0.56,0.52
0,0.6,0.2,0.33,0.33,441.01,0.39,9.67,6,0.54,0.2,0.67,0.67,364.41,0.7,3.33,3,0.6,0.2,0.5,0.5,455.54,0.52,26.0,3,0.6,0.2,0.53,0.4,490.54,0.47,7.57,17,0.6,0.2,0.75,0.8,265.12,0.72,7.07,12,0.6,0.2,0.28,1714.5,0.58,0.5,0.68,0.5,459.54,0.48,5.45,12,0.58,0.5,0.0,0.0,0,0.0,0,0,0.58,0.5,0.44,0.44,411.23,0.4,15.5,6,0.58,0.5,0.0,0.0,0,0.0,0,0,0.54,0.5,1.0,1.0,260.12,0.91,13.0,1,0.62,0.9,0.39,1938.64,0.5,0.6,0.3,0.9,0.6,0.5,0.9,0.7,0.5,0.4,0.48,0.44,0.3,0.54,0.64,0.44,0.52,0.48,0.55,0.44,0.51,0.29,0.46,0.4,0.58
1,0.56,0.4,0.33,0.4,399.21,0.28,8.5,8,0.56,0.4,0.5,0.5,352.3,0.55,27.0,4,0.56,0.4,0.57,0.57,419.37,0.53,6.14,3,0.56,0.4,0.58,0.5,458.76,0.55,5.89,11,0.54,0.4,0.57,0.57,255.08,0.63,26.0,4,0.62,0.9,0.33,1938.64,0.6,0.2,0.67,0.6,425.0,0.44,4.62,5,0.55,0.2,1.0,1.0,364.41,0.71,3.33,2,0.6,0.2,0.75,0.75,440.47,0.65,5.0,3,0.6,0.2,0.56,0.5,481.97,0.48,8.86,16,0.6,0.2,0.67,0.67,239.42,0.57,3.5,3,0.6,0.2,0.24,1727.69,0.4,0.6,0.7,0.6,0.5,0.5,0.6,0.3,0.9,0.4,0.46,0.64,0.58,0.46,0.58,0.52,0.46,0.38,0.56,0.44,0.5,0.67,0.55,0.42,0.83
1,0.58,0.1,0.65,0.6,421.21,0.44,4.11,4,0.54,0.1,0.5,0.5,340.88,0.36,6.0,2,0.58,0.1,0.54,0.6,457.87,0.51,8.62,14,0.58,0.1,0.44,0.6,470.46,0.55,6.0,9,0.58,0.1,0.5,0.5,249.83,0.45,3.67,2,0.6,0.2,0.11,1727.69,0.58,0.5,0.36,0.4,399.21,0.28,8.5,7,0.58,0.5,0.67,0.67,352.3,0.75,27.0,3,0.58,0.5,0.0,0.0,0,0,0,0,0.56,0.5,0.5,0.5,531.63,0.5,13.33,2,0.56,0.5,1.0,1.0,269.73,0.79,5.5,1,0.64,1.0,0.36,1967.26,0.4,0.3,0.6,0.5,0.4,0.5,0.7,0.4,0.2,0.7,0.52,0.52,0.48,0.66,0.42,0.48,0.66,0.33,0.44,0.58,0.5,0.5,0.64,0.56,0.47
0,0.32,0.4,0.46,0.3,383.98,0.31,10.0,6,0.24,0.4,0.33,0.33,318.18,0.54,10.0,6,0.36,0.4,0.5,0.5,487.53,0.6,14.5,8,0.33,0.4,0.57,0.57,502.16,0.67,22.0,7,0.32,0.4,0.25,0.25,272.46,0.54,2.38,4,0.32,0.4,0.41,1782.79,0.56,0.5,0.75,0.7,418.51,0.34,4.62,10,0.56,0.5,0.0,0.0,0,0.0,0,0,0.56,0.5,0.64,0.6,445.71,0.49,10.33,8,0.54,0.5,0.67,0.67,491.53,0.59,7.64,9,0.56,0.5,0.33,0.33,247.76,0.35,0,6,0.64,1.0,0.34,1967.26,0.5,0.3,0.6,0.2,0.3,0.4,0.4,0.5,0.8,0.5,0.48,0.38,0.52,0.44,0.62,0.48,0.43,0.58,0.54,0.5,0.4,0.0,0.5,0.4,0.5
0,0.32,0.4,0.0,0.0,0,0.0,0,1,0.26,0.4,0.25,0.25,393.56,0.32,18.0,4,0.36,0.4,0.55,0.5,432.49,0.48,11.75,5,0.34,0.4,0.67,0.67,502.16,0.72,22.0,6,0.32,0.4,0.0,0.0,0,0.0,0,3,0.32,0.4,0.39,1803.91,0.54,0.4,0.3,0.3,394.0,0.2,8.0,6,0.54,0.4,0.5,0.5,376.73,0.58,0,2,0.54,0.4,0.5,0.5,404.17,0.45,5.17,2,0.52,0.4,0.55,0.5,455.92,0.5,4.36,10,0.56,0.5,0.0,0.0,0,0.0,0,0,0.64,1.0,0.29,1967.26,0.5,0.5,0.5,0.3,0.6,0.3,0.5,0.6,0.2,0.4,0.4,0.44,0.48,0.46,0.58,0.46,0.68,0.58,0.46,0.44,0.5,0.4,0.46,0.54,0.56
1,0.52,0.3,0.67,0.4,459.88,0.39,4.9,12,0.52,0.3,0.0,0.0,0,0.0,0,1,0.52,0.3,0.4,0.4,395.16,0.35,3.33,1,0.52,0.3,0.0,0.0,0,0.0,0,1,0.56,0.5,0.2,0.2,238.08,0.17,0,5,0.64,1.0,0.23,1967.26,0.34,0.5,0.0,0.0,0,0.0,0,0,0.28,0.5,0.45,0.5,332.02,0.42,4.0,7,0.38,0.5,0.2,0.2,378.85,0.17,3.0,4,0.35,0.5,0.8,0.8,502.16,0.73,22.0,5,0.34,0.5,0.17,0.17,250.27,0.15,10.0,6,0.34,0.5,0.41,1832.83,0.2,0.5,0.6,0.5,0.5,0.4,0.4,0.6,0.3,0.4,0.4,0.68,0.58,0.64,0.48,0.48,0.64,0.5,0.48,0.46,0.47,0.6,0.46,0.58,0.54
1,0.8,0.6,0.0,0.0,0,0.0,0,1,0.8,0.6,0.8,0.8,358.24,0.67,10.0,5,0.8,0.6,0.87,0.8,431.69,0.58,10.86,16,0.8,0.6,0.82,0.8,464.76,0.54,19.0,2,0.8,0.6,0.6,0.6,238.37,0.45,4.33,4,0.8,0.9,0.43,1937.03,0.6,0.2,1.0,1.0,398.01,0.82,14.0,1,0.55,0.2,0.0,0.0,0,0.0,0,1,0.6,0.2,0.62,0.7,482.06,0.62,9.0,11,0.6,0.2,0.5,0.5,438.83,0.52,8.71,1,0.6,0.2,0.64,0.6,255.72,0.49,4.81,11,0.6,0.2,0.49,1718.81,0.4,0.9,0.4,0.6,0.5,0.5,0.6,0.5,0.4,0.7,0.46,0.5,0.46,0.46,0.58,0.44,0.7,0.5,0.36,0.48,0.44,0.62,0.45,0.59,0.5
1,0.58,0.2,0.63,0.5,419.12,0.39,4.12,3,0.54,0.2,1.0,1.0,361.65,1.05,2.75,1,0.58,0.2,0.52,0.6,461.98,0.54,8.0,13,0.58,0.2,0.67,0.7,490.26,0.65,6.17,11,0.58,0.2,0.0,0.0,0,0.0,0,0,0.6,0.2,0.63,1718.81,0.8,0.7,0.62,0.7,427.42,0.39,16.67,6,0.8,0.7,1.0,1.0,356.01,0.89,14.17,5,0.8,0.7,0.75,0.75,478.59,0.58,10.0,4,0.8,0.7,0.0,0.0,0,0.0,0,0,0.8,0.7,0.79,0.9,246.57,0.61,5.0,15,0.82,0.9,0.5,1936.74,0.4,0.4,0.4,0.2,0.3,0.3,0.7,0.6,0.6,0.7,0.5,0.44,0.46,0.46,0.36,0.46,0.72,0.54,0.58,0.48,0.5,0.25,0.46,0.6,0.54
0,0.6,0.3,0.39,0.4,421.04,0.51,9.33,4,0.56,0.3,0.0,0.0,0,0.0,0,0,0.6,0.3,0.57,0.57,455.54,0.55,26.0,3,0.6,0.3,0.48,0.4,507.67,0.53,18.33,5,0.6,0.3,0.83,0.83,258.56,0.57,4.43,5,0.62,0.3,0.66,1745.48,0.78,0.6,0.86,0.86,389.99,0.75,11.67,2,0.78,0.6,0.75,0.75,364.15,0.68,20.5,4,0.78,0.6,0.86,0.8,433.12,0.58,9.5,15,0.78,0.6,0.81,0.7,526.44,0.55,9.11,16,0.78,0.6,0.78,0.9,245.52,0.62,5.58,14,0.82,0.9,0.44,1936.74,0.4,0.5,0.2,0.4,0.6,0.4,0.8,0.3,0.7,0.6,0.48,0.4,0.3,0.48,0.5,0.4,0.5,0.46,0.52,0.46,0.5,0.47,0.46,0.4,0.78
